0,あ,ア,a
1,い,イ,i
2,え,エ,e
3,う,ウ,u
4,お,オ,o
5,か,カ,ka
6,き,キ,ki
7,く,ク,ku
8,け,ケ,ke
9,こ,コ,ko
10,さ,サ,sa
11,し,シ,shi
12,せ,セ,se
13,す,ス,su
14,そ,ソ,so
15,た,タ,ta
16,ち,チ,chi
17,つ,ツ,tsu
18,て,テ,te
19,と,ト,to
20,な,ナ,na
21,に,ニ,ni
22,ぬ,ヌ,nu
23,ね,ネ,ne
24,の,ノ,no
25,は,ハ,ha
26,ひ,ヒ,hi
27,ふ,フ,fu
28,へ,ヘ,he
29,ほ,ホ,ho
30,ま,マ,ma
31,み,ミ,mi
32,む,ム,mu
33,め,メ,me
34,も,モ,mo
35,や,ヤ,ya
36,ゆ,ユ,yu
37,よ,ヨ,yo
38,ら,ラ,ra
39,り,リ,ri
40,る,ル,ru
41,れ,レ,re
42,ろ,ロ,ro
43,わ,ワ,wa
44,を,ヲ,wo
45,ん,ン,n
